,time,high,low,open,volumefrom,volumeto,close
1021,2021-10-11,559.1,483.58,517.14,540044.83,299786021.31,555.11
1022,2021-10-12,607.23,559.79,555.11,844549.14,492769950.64,583.47
1023,2021-10-13,595.46,562.17,583.47,367960.03,215729572.21,586.29
1024,2021-10-14,630.34,579.71,586.29,430625.16,253294310.52,588.2
1025,2021-10-15,590.61,568.93,588.2,234119.27,134321561.09,573.73
1026,2021-10-16,592.55,577.98,573.73,165158.43,96440648.07,583.93
1027,2021-10-17,607.34,580.4,583.93,228217.59,137376581.11,601.95
1028,2021-10-18,636.87,597.05,601.95,245700.59,148594021.34,604.78
1029,2021-10-19,619.42,602.88,604.78,238685.02,146858710.99,615.28
1030,2021-10-20,593.56,569.85,615.28,320445.15,186244950.54,581.21
1031,2021-10-21,596.79,564.94,581.21,253988.52,149905859.48,590.21
1032,2021-10-22,598.72,589.28,590.21,136587.06,81694881.73,598.12
1033,2021-10-23,595.81,582.61,598.12,124848.37,73225085.33,586.51
1034,2021-10-24,612.75,598.82,586.51,143211.97,86173380.91,601.72
1035,2021-10-25,593.66,572.07,601.72,154680.09,91297644.72,590.24
1036,2021-10-26,577.98,547.6,590.24,260394.02,144971431.72,556.74
1037,2021-10-27,620.41,576.07,556.74,351176.47,214026229.07,609.45
1038,2021-10-28,661.3,620.85,609.45,323761.55,213176048.19,658.44
1039,2021-10-29,668.92,644.93,658.44,246573.12,161905267.79,656.62
1040,2021-10-30,663.28,643.25,656.62,227272.56,148149839.52,651.86
1041,2021-10-31,680.46,634.75,651.86,283288.79,192724781.03,680.31
1042,2021-11-01,711.92,675.65,680.31,282953.46,195205777.41,689.89
1043,2021-11-02,708.24,676.0,689.89,267532.68,188641497.0,705.12
1044,2021-11-03,699.79,683.53,705.12,244107.34,170468836.75,698.34
1045,2021-11-04,764.93,688.13,698.34,458722.66,346129912.9,754.55
1046,2021-11-05,791.67,754.26,754.55,302875.03,239777063.52,791.67
1047,2021-11-06,850.73,802.03,791.67,343041.11,276746051.9,806.74
1048,2021-11-07,860.24,800.44,806.74,413352.36,335120990.64,810.74
1049,2021-11-08,805.01,774.81,810.74,276097.86,217266977.55,786.92
1050,2021-11-09,800.51,738.88,786.92,392015.08,301795598.8,769.86
1051,2021-11-10,800.45,771.65,769.86,248491.2,197237531.59,793.74
1052,2021-11-11,790.21,774.87,793.74,179869.05,141930848.88,789.08
1053,2021-11-12,818.47,785.36,789.08,227918.26,185258389.48,812.83
1054,2021-11-13,841.34,810.04,812.83,189186.48,153962407.26,813.81
